InvoiceNo,TransactionDate,Location,CustomerCode,CustomerName,ItemCategory,ItemCode,ItemName,Unit,Weight,BatchNo,CostPrice,SaleBonusQty,SaleQty,TotalSaleQuantity,SalePrice,Sale Amount,SaleReturnQuantity,StockInQuantity,,,,,"SELECT InvoiceNo=s.InvoiceNo, InvoiceDate=CONVERT(nvarchar(12), s.InvoiceDate, 106)"
18342,25-Oct-23,Karnaphuli,820,M/S Nurzahan Enterprises,Aqua Product,105,Ammonia Test Kit,pcs,26.5 gm,FT-101,800,0,1,1,2950,2950,,,,,,,",Location=l.Name,CustomerCode=c.Code,CustomerName=c.NameEnglish"
18325,25-Oct-23,Turag,286,M/S Rodela Enterprise,Aqua Product,15,Biocult 02kg,pcs,2000 gm,1355,430,0,2,2,990,1980,,,,,,,",ItemCategory=ic.Name,ItemCode=i.Code,Item=i.Name,Unit=u.UnitName"
18325,25-Oct-23,Turag,286,M/S Rodela Enterprise,Aqua Product,15,Biocult 02kg,pcs,2000 gm,1387,430,0,3,3,990,2970,,,,,,,",Weight = case when u.UnitName='pcs' then CONVERT(nvarchar(max),i.Weight) + ' gm' when u.UnitName='ml' then CONVERT(nvarchar(max),i.Weight) + ' ml' else CONVERT(nvarchar(max),i.Weight) end"
18330,25-Oct-23,Kopotakkho,17,M/S Lucky Fish,Aqua Product,15,Biocult 02kg,pcs,2000 gm,1387,430,4,40,44,990,39600,,,,,,,",d.BatchNo,CostPrice=d.Cost"
18323,25-Oct-23,Surma,505,M/S Arafat Enterprise,Aqua Product,202,Clean 100ml,ml,100 ml,P07-10-23,250,1,20,21,940,18800,,,,,,,",SaleBonusQty=d.BonusQuantity,SaleActualQty=d.ActualQuantity,TotalSaleQuantity=d.TotalQuantity,SalePrice=d.Rate,SaleAmount=d.Amount"
18333,25-Oct-23,Brahmaputra,175,M/S Siddik Traders,Aqua Product,202,Clean 100ml,ml,100 ml,P07-10-23,250,0,10,10,940,9400,,,,,,,"--,s.SubTotal,s.DiscountAmount,s.OtherCharge,s.VATAmount,s.TAXAmount,s.Total"
18334,25-Oct-23,Brahmaputra,173,M/S Bhai Bon Traders,Aqua Product,202,Clean 100ml,ml,100 ml,P07-10-23,250,4,50,54,940,47000,,,,,,,FROM SaleDetails d
18337,25-Oct-23,Karatoa,718,M/S Rakib Traders,Aqua Product,202,Clean 100ml,ml,100 ml,P 07-10.23,250,0,5,5,940,4700,,,,,,,inner join Sales s on d.SaleId=s.Id
18328,25-Oct-23,Kopotakkho,214,M/S Razu Enterprise,Aqua Product,202,Clean 100ml,ml,100 ml,P 07-10.23,250,1,25,26,940,23500,,,,,,,inner join Locations l on s.LocationId=l.Id
18330,25-Oct-23,Kopotakkho,17,M/S Lucky Fish,Aqua Product,28,Exorich 250gm,pcs,250 gm,TB10083,538,4,40,44,1350,54000,,,,,,,inner join Customers c on s.CustomerId=c.Id
18338,25-Oct-23,Karatoa,58,M/S Haque Traders,Aqua Product,27,Exorich 50gm,pcs,50 gm,TB10082,114,24,200,224,280,56000,,,,,,,inner join Items i on d.ItemId=i.Id
18336,25-Oct-23,Karatoa,760,M/S Bhai Bhai  Matshow Khamar-Raninagor.,Aqua Product,31,Gasonex +Y 100gm,pcs,100 gm,2145,147,1,20,21,480,9600,,,,,,,inner join Units u on i.UnitId=u.Id
18329,25-Oct-23,Kopotakkho,151,M/S Sharif Enterprise,Aqua Product,31,Gasonex +Y 100gm,pcs,100 gm,2145,147,1,25,26,480,12000,,,,,,,inner join ItemCategories ic on i.ItemCategoryId=ic.id
18330,25-Oct-23,Kopotakkho,17,M/S Lucky Fish,Aqua Product,32,Gasonex +Y 200gm,pcs,200 gm,2146,241,7,70,77,895,62650,,,,,,,WHERE S.CompanyId=4
