TransactionDate,Location,ItemName,Cost,SaleQty,SaleBonusQty,SaleTotalQty,MRP,SaleAmount,SR_TotalQty,PerInvoiceAverageAmount
25-Oct-23,Brahmaputra,Clean 100ml,250,50,4,54,940,47000,0,44439.81
25-Oct-23,Brahmaputra,Clean 100ml,250,10,0,10,940,9400,0,12013.21
22-Oct-23,Brahmaputra,Clean 100ml,250,20,1,21,940,18800,0,92327.94
21-Oct-23,Brahmaputra,Clean 100ml,250,6,0,6,940,5640,0,16732.52
19-Oct-23,Brahmaputra,Clean 100ml,250,20,1,21,940,18800,0,11170.89
16-Oct-23,Brahmaputra,Clean 100ml,250,100,10,110,940,94000,0,136129.58
16-Oct-23,Brahmaputra,Clean 100ml,250,20,1,21,940,18800,0,27274.83
15-Oct-23,Brahmaputra,Clean 100ml,250,20,1,21,940,18800,0,31217.98
8-Oct-23,Brahmaputra,Clean 100ml,250,20,1,21,940,18800,0,16708.05
4-Oct-23,Brahmaputra,Clean 100ml,250,20,1,21,940,18800,0,60293.05
1-Oct-23,Brahmaputra,Clean 100ml,250,2,0,2,940,1880,0,19977.16
27-Sep-23,Brahmaputra,Clean 100ml,250,16,0,16,940,15040,0,35418.62
27-Sep-23,Brahmaputra,Clean 100ml,250,24,3,27,940,22560,0,35418.62
27-Sep-23,Brahmaputra,Clean 100ml,250,20,1,21,940,18800,0,26931.35
10-Sep-23,Brahmaputra,Clean 100ml,250,2,0,2,940,1880,0,5558.05
4-Sep-23,Brahmaputra,Clean 100ml,250,20,1,21,940,18800,0,35111.33
30-Aug-23,Brahmaputra,Clean 100ml,250,10,0,10,940,9400,0,20700.96
24-Aug-23,Brahmaputra,Clean 100ml,250,40,3,43,940,37600,0,35590.73
24-Aug-23,Brahmaputra,Clean 100ml,250,2,0,2,940,1880,0,31217.98
24-Aug-23,Brahmaputra,Clean 100ml,250,8,0,8,940,7520,0,31217.98
24-Aug-23,Brahmaputra,Clean 100ml,250,5,0,5,940,4700,0,31747.84
22-Aug-23,Brahmaputra,Clean 100ml,250,14,0,14,940,13160,0,35669.3
22-Aug-23,Brahmaputra,Clean 100ml,250,6,1,7,940,5640,0,35669.3
21-Aug-23,Brahmaputra,Clean 100ml,250,20,1,21,940,18800,0,69012.92
21-Aug-23,Brahmaputra,Clean 100ml,250,60,5,65,940,56400,0,44439.81
20-Aug-23,Brahmaputra,Clean 100ml,250,20,1,21,940,18800,0,28520.47
16-Aug-23,Brahmaputra,Clean 100ml,250,1,0,1,940,940,0,31217.98
16-Aug-23,Brahmaputra,Clean 100ml,250,4,0,4,940,3760,0,31217.98
3-Aug-23,Brahmaputra,Clean 100ml,250,20,1,21,940,18800,0,58340.12
1-Aug-23,Brahmaputra,Clean 100ml,250,40,3,43,940,37600,0,16732.52
30-Jul-23,Brahmaputra,Clean 100ml,250,40,3,43,940,37600,0,28027.58
25-Jul-23,Brahmaputra,Clean 100ml,250,40,3,43,940,37600,0,56329.79
16-Jul-23,Brahmaputra,Clean 100ml,250,20,1,21,940,18800,0,32294.06
13-Jul-23,Brahmaputra,Clean 100ml,250,20,1,21,940,18800,0,28520.47
11-Jul-23,Brahmaputra,Clean 100ml,250,20,1,21,940,18800,0,19977.16
10-Jul-23,Brahmaputra,Clean 100ml,250,100,11,111,940,94000,0,223788.7
10-Jul-23,Brahmaputra,Clean 100ml,250,20,1,21,940,18800,0,92980.71
10-Jul-23,Brahmaputra,Clean 100ml,250,60,5,65,940,56400,0,27538.23
15-Jun-23,Brahmaputra,Clean 100ml,250,20,1,21,940,18800,0,56329.79
14-Jun-23,Brahmaputra,Clean 100ml,250,30,1,31,940,28200,0,35418.62
10-Jun-23,Brahmaputra,Clean 100ml,250,5,0,5,940,4700,0,46238.53
7-Jun-23,Brahmaputra,Clean 100ml,250,10,0,10,940,9400,0,8920.83
28-May-23,Brahmaputra,Clean 100ml,250,10,0,10,940,9400,0,31217.98
21-May-23,Brahmaputra,Clean 100ml,250,40,3,43,940,37600,0,35590.73
